Candidate 1,Chosen Title,Description,Candidate 2
Sunshine Studios! By Waterways Close To City Centre :) Littl,Sunshine Boathouse - near Canalside!+8 Off Weekends  CanalBo,"JESSIE the narrowboat is moored in the heart of Little Venice on the north bank of the Pool of Little Venice and just opposite Brownings Island. It’s a stones throw from Paddington Station. Convenient, pretty and very relaxing. The space Stay on this lovely individual, comfortable boat in the heart of London and experience the capital from a different point of view. Jessie is a 57 foot canal boat (or narrowboat) completed in 2011. She is 6 foot 10 inches wide. She can sleep 4 people in comfort, for 2 she is very comfortable. The boat has a warm inviting interior and space on deck to sit and watch the world go by. The appropriately named Little Venice (a name coined by the poet Robert Browning) is a very pretty corner of London, famous as home to hundreds of beautiful canal boats and convenient base from which to explore the capital. Two underground stations and good bus routes to all parts of the city are a short walk away. There is something very spe",Sunshine Boathouse - near Canalside!+8 Off Weekends  CanalBo
Sunrise Skyline Apt! Close To River Taxies (8mins) | WCs Inc,Sunrise Skyline Apt! Close To River Taxies (8mins) | WCs Inc,"Top floor bright & modern apartment with a beautiful city sunset balcony view. My 2bed flat is fully furnished and fully equipped making it a comfortable home from home, whether your stay is for business or leisure. Set in the stylish Imperial Wharf, the area has lovely gardens with Thames riverside walks, and is only minutes away from Kings Road with its trendy shops, bars, restaurants. Location is quiet yet central & 1min to the train station & river taxi makes it easy to travel all of London. The space Top floor, cosy and clean with a gorgeous unencumbered city sunset overlooking London views. My place can accommodate up to 5 people. There are 2 bedrooms – 1 master double with a built in wardrobe and en suite and 1 single room with a free standing wardrobe. There is a comfy double sofa bed in the lounge with an open plan living and kitchen area. Furnished and equipped to a high standard throughout it has all the facilities you require to",Cosier than ZZtop! - Flat near Central Zone!! (3mins walk) l
Double Bed Home w Flat Screen TV! Nearest Bus Stn - No Walki,Double Bed Home w Flat Screen TV! Nearest Bus Stn - No Walki,"This is a lovely two double bed apartment located in Forest Hill and within a minute to the the Train Station. This station has trains running every 4 minutes and takes you into London Bridge in 13 Minutes. The space This 2 double bedroom Apartment located in Forest Hill which is only 13 minutes by train to London Bridge. Thee is a train every 4 minutes from this station to London Bridge, Canada Water, Highbury & Islington as well as other Locations. It is perfect for travel around London as you are within close proximity to every important site in London. Location This brand new Luxurious 2 double bedroom Apartment is located in Forest Hill SE23, a desirable, peaceful, leafy suburb with great transport links. It is perfect for travelling around London as Forest Hill train station which forms part of the underground is seconds away from the apartment and takes you to London Bridge in 13 minutes. The West End Central London is less than 30 ",Sunrise studio - near forest hill! LOOKING GOOD? HOT DEAL !!
Sunrise Studios - Apartments by Porter Gate!   | Beautifully,Sunrise City Apt! - Double Bed + Office Space : ,"The apartment is on the top floor of a portered building. From the apartment there are amazing views of both the city of London and the hills of the south. The space The apartment is on top floor of a secure building in trendy Brixton. The flat comprises of 2 bedrooms and 2 bathroom. Guests will have exclusive use of the flat. The master bedroom has a king size bed and an ensuite bathroom with a powerful shower. The second bedroom is duplex, it has a double bed with a large wardrobe upstairs and a small office and a tv with a sofa downstairs. The kitchen is fully equipped with dishwasher, coffee machine and a hot and cold (still and sparkling) on demand water tap. The lounge has a very large and comfortable goose feather filled sofa Which can become a better than average comfortable large double bed for two people, a 55 inch TV with Dolby digital sound system, a piano and leads into a small balcony where our smoking guests can enjoy a cigarette without the need",Sunrise City Apt! - Double Bed + Office Space : 
Sunshine Flat - Near Tub! Easy Access Stn&Tube $ $$ london @,Sunlit Flat near Kings Cross! Perfect For Tourists :) Guest ,"The space Our studios are located in Hammersmith. Hammersmith is a leafy Borough on the North Bank of the River Thames. The extensive transport links make it a convenient base to explore London. The studios are only a 3 minute walk from public transport & only minutes away by underground & bus from top London attractions of Kensington, South Kensington, Knightsbridge as well as central London a 15-20 minute ride away. Closer to home HMV Apollo is a 5 minute walk. Locally there is a large selection of restaurants & local pubs. Locally 3 minutes walk you have Kings Mall Shopping Centre with numerous stores as well as a large supermarket. You will find a wealth of restaurants catering for every conceivable taste only a few minutes walk away. Local bars & pubs are plentiful & all within minutes walk away; only 5 minutes by tube. To the north is Shepherds Bush with it's fabulous Westfield Mall. The largest urban shopping centre in Europe with 250 stores (including a ",Sunlit Flat near Kings Cross! Perfect For Tourists :) Guest 
Sunni Stay! Double room near tube station!! With wi fi avail,Sunshine Flat - Central! LondonEarl't&Kensington Closeby+Fre,"The space In a Genuinely Friendly cozy 3 bed flat in West London,Dbl Rm (double bed), Centrally located from Airport all terminals. Room is has dbl bed, Wardrobe, Chest of Drawer and Wifi,. (It is not a shared Room) Kitchen has washing machine, all necessary equipment to make breakfast and food. Kitchen is fully operational (Use of washing machine is no problem, Jst let me know the day guest would like to use the machine) Please bring your own Towel for Hygene Purpose. Bedding and linen is provided. Shower Room and WC are both seperate but Shared with house holder (Bathrm Clean and Tidy). Neighbourhood is good working professionals. Beautiful Park for jogging or walking is 2 mins. away. Safe neighbourhood. at night. There are many cafes shops restaurants and shopping facilities from within 5 mins walking distance to 10 mins. by bus, Two nearby locations are West Ealing 10 Mins. Walk and Ealing Broadway 10 Mins. B",Sunshine Flat - Central! LondonEarl't&Kensington Closeby+Fre
Sunni Double Room - Freshly made Breakfast! @Monden NW8 Zone,Sunset Views! Double Room w Spacious Bath!! Zoned Zone SE7!!,"Perfect for Wimbledon Tennis. A comfortable room in our warm, friendly house with everything you need Hillcross Avenue has Morden at one end and Grand Drive at the other, offering local shops. Backing onto Morden Park a quiet, green area. Good public transport with the 163 & 293 bus to Morden, Wimbledon and Epsom. Morden, Underground Station(Zone 4) and Bus station is only a 5 min drive bus or 15 20 min walk away. Free off-street parking and good company. The space Welcome to our home and friendly B&B (bed and breakfast). We do accept pets but not cats as Adrian is allergic. We offer you a nice sized, double bedroom, looking out onto Morden Park in Hillcross Avenue, Morden, Surrey, Greater London. We are only 2 miles from Wimbledon SW19. We have free off-street parking on the front of our house. There is also free parking in Hillcross Avenue. Morden is a very clean, quiet and safe area to live in. We do not as",Sunset Views! Double Room w Spacious Bath!! Zoned Zone SE7!!
Sunni dowmstn studios stepsfrom metro!,Sunni dowmstn studios stepsfrom metro!,"The space Very pretty, self-contained coach house, fully furnished in contemporary style, available for short lets in residential area close to public transport (bus, underground and railway), shops, restaurants and leafy parks. Accommodation comprises living room, mezzanine bedroom, additional sofa bed in living rooms, modern and fully equipped kitchen and brand new bathroom with shower and bath. Fully fitted kitchen and bathroom with washing machine.  Ideal for 1 or 2 people. Non-smokers only please. Estimated travel times from the Coach House: To Leicester Square, Central London: 25 mins To Wimbledon: 25 mins To Heathrow Airport: 45 mins To Gatwick Airport: 35 mins To The City (Finance District): 25 mins Guest access The self-contained coach house and the paved courtyard.",Luxury Self Containing Flats! Near Tube Station
ity filled studio near London Bridge! (3 mins walk) Sunlight,Sunshine Studios! London's Finiest View!! HamptonCourtPalace,"Perfect Studio apartment with separate kitchen and wet room. Extra double sofa bed also provided. Great work space and the most amazing views over Bushy Park. The space Luxury fully serviced and self contained apartment avalable just moments from Hamton Court Palace. Located within a beautiful Georgain Building the Studio is fully equipped for a really comfortable stay. Underfloor heating, all towels and linens, fully equipped kitchen, car parking and internet all included in the price. Guest access The whole apartment is yours to enjoy. Other things to note Do note this apartment is fully serviced, so all utilities, council tax, internet and parking is included. Fully furnished and equipped to the highest standard with towels and linens provided. Cleaning also provided once per week.",Sunshine Studios! London's Finiest View!! HamptonCourtPalace
Sunrise Flat near Park Station! (2nd Floor)  +Free Wifi +Par,Sunrise Flat near Park Station! (2nd Floor)  +Free Wifi +Par,"A stylish apartment close to Portobello market with excellent Wi-Fi connection and easy access to travel options. The space The flat is on the first floor of a beautiful old house with high ceilings and big windows. It is located only a few hundred metres from Ladbroke Grove tube station, and is a good size for two. You'll also have the place to yourselves as I'll only be letting when I'm away. The decor is simple and stylish. The kitchen is compact but well equipped for a short stay with cooker, microwave, fridge, freezer, etc. There isn't a washing machine but there is a laundrette just across the road. There is now a new electrical shower fitted in the bathroom. There's no TV but you can use the WiFi. The house is on a bus route - which is very convenient but can be a little noisy at night. There's one double bed, with an air bed and spare duvet in the cupboard. Guest access Enti",Sunshine Flat Near Market!
Bright Sunset Bed Room! Easy Walk To Tub Station + Cafe's In,Bright Sunset Bed Room! Easy Walk To Tub Station + Cafe's In,"The apartment is spacious, sunny, open plan contemporary living with great westerly views & quiet aspect overlooking gardens. Kensington High Street and Holland Park are 5 mins walk away. Kensington palace is easy walk away. Close to tube station. The space The bedroom is bright and spacious, with wonderful westerly view, overlooking gardens in a two-bedroom apartment in Kensington. The bedroom has a 137 x 190 cm bed and inbuilt wardrobes, and elegant table with chair. A marble stone tiled bathroom with shower cubicle that is exclusively for your use. And share of the living room and kitchen, in a deluxe, open plan contemporary living modern apartment in Kensington with quiet aspect overlooking gardens. The apartment is a 5 minutes walk to The Design Museum on Kensington High Street, Holland Park and a short walk to Kensington gardens. Kensington Palace is on Kensington High Street. Hyde Park is a short walk from Kensington Gardens. Nearby ",Sunshine Studios! Guest Quiet Room !!! (Steeped
River Side Flat w Stairs - 39 !!!!!! Londinographers | PUBLI,Sunshine Flat near Eye - 38 pwk B&B or Guest House,"our flat is overlooking the river Lea and it's houseboats, the room is cosy, with reclaimed wood furniture and fitted with a flat-screen tv and shutters on the windows. Looking out of the window feels more like countryside than being in London. Own toilet opposite guest bedroom, shared shower. Free coffees ;-) The space Double bed room with a proper comfy bed. We know how important a good night's sleep is! Free parking in Timberwharf Road (1min Walk) Central London (Euston) is 11 Minutes journey time from Seven Sisters station. Walking along the canal, you will see ducks, geese, swans, herons and cormorants. There are a few local pubs within walking distance. (15 mins) The nearest restaurants are about 25 mins walking distance. Our flat is filled with pieces from auctions and carboot sales and things we found in the skip and renovated. As I am trading with vintage items, there will be large amounts of ceramics and glass items o",Sunshine Flat near Eye - 38 pwk B&B or Guest House
Sunset View Apartment! - Maidstone St Bayswater Tower !!!!!!,Sunset View Apartment! - Maidstone St Bayswater Tower !!!!!!,"inside flat is one staircase to go downstairs to basement, where private room and EnSuite Bathroom is located The space Sutherland Avenue (Maida Vale) is just a few minutes walking distance from the beautiful Little Venice, where you can take a lovely boat trip from the Regent Canal to Camden Town to visit its famous market. The property is also just a 20 minute walk away from Notting hill which is home to the famous Portobello market. There is something for everyone here as there are a several different market days; antiques, traditional vegetable stalls, vintage clothing etc.. Sutherland Avenue is a very wide tree-lined Victorian Avenue just a few minutes away from the Warwick Avenue tube (bakerloo line) & bus station, which will directly connect you to Oxford Street or Knightsbridge, plus there are lots little restaurants and old english pubs (Prince Alfred and The Warrington) which are all within walking distance. The house also has a wo",Bright steeped studio in central London! :) GPS coordinates 
Cosiest Small Flat! Near Bus Stop&Tube!!! Sunlight!! :)thumb,Both are similar,"The space .Please note that this apartment is not in Central London so only book this apartment if don't want to pay for expensive apartment in Central London. This is a self-contained newly furbished cosy small apartment. Self-contained newly furbished cosy small apartment close to Rayners Lane Station. All amenities + Free Hi-Speed Wi-Fi access and wall mounted flat screen TV, (Freeview, not sky), Located in a desirable, peaceful and leafy suburb of London. Parking available. Peaceful escape from Central London but still conveniently located under 30 minutes tube ride into Central London. Metropolitan and Piccadilly Lines within 8 10 minutes walking distance. Conveniently located near downtown Harrow with cinema, shopping and local restaurant. Excellent transport links. Motorways M4, M25, M3, A40 and M40 all within easy access. Close to Heathrow Airport and Local bus routes to Heathrow, Hounslow and Uxbridge. The small cosy apartment contains a bedroom wi",Sunni Small Cosiest Flat Near Tub!
Sunrise View B&BR! @Richmond Flats Londontube24hrLotsaTrees!,Sunrise Viewroom at Hammond Hill! (Richmond) Twin beds avail,"Bed & Breakfast - Quiet double room in comfortable modern house overlooking the Ham Meadow Lands, close to the River Thames, Richmond Park and Richmond Town Centre as well as Kew Gardens and Hampton Court Palace. 30mins from Heathrow and central London by train from Richmond station. Easy free parking. Several pubs and restaurants for every taste can be found near by in Richmond, Teddington and Kingston-upon-Thames. The space Bed & Breakfast - Quiet double room in comfortable modern house overlooking the Ham Meadow Lands, close to the River Thames, Richmond Park and Richmond Town Centre as well as Kew Gardens, Ham House and the historic Hampton Court Palace and gardens. 30mins from Heathrow and central London by train from Richmond station. Easy free parking. Several pubs good for food and restaurants for every taste can be found near by in Richmond and Kingston-upon-Thames for lunch and dinner. 15 mins. drive from Hampto",Sunrise Viewroom at Hammond Hill! (Richmond) Twin beds avail
Sunrise Views by Central Stations - Cosy Room w Patty Garden,Sunrise Views by Central Stations - Cosy Room w Patty Garden,"Room with a single bed in a very nice and spacious maisonette with patio garden, 3 minutes walk from Damien Hirst Newport Street Gallery which and from the River Thames. My maisonette is situated on the south side of Lambeth Bridge, with easy access to the city and the transport links to Waterloo Station, the House of Parliament, the Tate Gallery,the War Museum and the London Eye. The room is neat and cozy with an in-built closet. The house has a large living room, eat-in kitchen, a big office. The space Please note that guests can use microwave but no cooking is allowed Guest access I will leave the keys for you to arrive when I am not at home Other things to note I am Italian but have been living in London for 15 years, I love it and consider it home! I left my banking job and went back to Uni: took an MA in the US and now I teach in a private school here in London. I am in the British Library every day..",Sunni Maisonettes by DH - close NG Trent St Gatwick Bristol 
Sunset Studios! Apt near Trafalgar Square wiFi + Wifi Free G,Sunset Studios! Apt near Trafalgar Square wiFi + Wifi Free G,"A fully equipped studio apartment where you feel just like in your own house. Everything is right in your studio. Not only that, after booking you will receive my website link where I have put all information regarding this property, the local area, local and London attractions, London transports, and everything you need to plan a great holiday in London, like flights, car rentals, ferries, trains and more The space This studio is fully furnished, self-catering with en-suite bathroom toilet. You get your own space, your own mini-kitchen, your own bathroom. Nothing to share with nobody. And there is a private access corridor to both this studio and a separate apartment next door. - Brand new comfortable sofa with hideaway bed with pillows and clean bedding set. This can be set up to provide a very comfortable double bed. The comfort surpasses that of a normal standard bed. See pictures - TV and DVD player with SKY BOX WITH OVER 300 S",Sunrise Apt | LDN City Centre! 1527984 Beds Rent Now 
Cosily down town studio! Guest access Lifts available,Cosily down town studio! Guest access Lifts available,"Close to the best markets of London-Brick Lane, Spitalfields,Colombia Road and neighbours to uber cool Shoreditch,with tube links to West End in 30 mins-you have a prime location in E1 with an incredible history of its own-Jack the Ripper,and more... The space Update August 2020: We have had to make some changes to our work lives in recent months and now mainly work from home. Lorenzo is a musician composer and Radhika is an actor and records a lot of audio from home. Also we now have a kitten staying so it is not wise to book if you are allergic to cats. We do keep the cat out of the guest room where possible. ----------- We are very easygoing and will make you feel welcome during your stay. We are on the ground floor so you dont have to worry about carrying luggage upstairs. The is a double room - recently renovated, and faces the garden (lots of natural light). We provide linens and towels. We also have an adaptor for yo",Sunrise studio dowtown! Guest Room wrt Garden B&C !!!!  love
Sunrise Garden Flats - King' s Charter House (Isle) Tower | ,Sunrise Garden Flats - King' s Charter House (Isle) Tower | ,"A cute one bedroomed flat in Angel Islington with its own sunny private garden. Just five minutes walk from Upper Street with its dozens of excellent bars, restaurants, theatres & boutiques and a 10 minute walk to Kings Cross or Angel stations! The space ABOUT MY FLAT: My property is a cute one bedroom garden flat just 5 mins from the tube which sleeps 2 people. This flat, which boasts original wooden floorboards, has been recently repainted. There is free fast wifi throughout. The main street, Upper Street, is lined with lovely coffee shops, designer shops, antique and junk shops to rummage in and classic English pubs to sample a pint of traditional ale. * Just moments from vibrant Angel Islington and Upper Street with loads of great restaurants, stylish bars and famous theatres and live music venues that rival the West End. * Within walking distance to the West End and Oxford Stree",Sunlight Flats - Near Tubel Central Station + Angle !!!!
Sunshine Apt near @picsnburbs! 2 Bedrooms : )LondonStayFree ,Sunrise&Evenng Flats near Tower Hill!,"The space 1 Double rooms with tv, wifi, and a super-cozy kingsize comfortable bed in a two bedroom apartment. You'd be sharing , (but not necessarily as I am most of the time away)the rest of the facilities like the kitchen, the bathroom with shower and bath and the separate toilet with one other person. Close to all amenities like shops, cafes, pubs, restaurants and supermarkets and only 5 minutes walk to Barons Court Tube Station, on the Picadilly and District lines, it makes for a perfect stay as it is only 15 minutes tube journey to touristic spots like Piccadilly Circus, The Big Ben and London Bridge. 10 minutes walk from the house you'll also find bus stops with day and night connections to the whole of London so you can reach the apartment any time of day. Heathrow Airport is 45 minutes away and the journey is very straightforward since the Picadilly Line stops in both locations. To be clear, the booking would be for 1 ",Sunrise&Evenng Flats near Tower Hill!
Sunshine Zone - Traficzyte! Flatwarm Hotel Kensington Garden,Both are similar,"Your room is light and airy with a garden view. You are in the City of London but you will find quiet here in your room. The property is on a tree lined street and transport is readily accessible, just ten minutes to the tube. Its a friendly area The space A large single spacious private room which looks onto a garden. Very clean, and quiet. Share the bathroom and kitchen with me only. In your room there is TV DVD Freeview Radio, chest of drawers, desk and two chairs and a wardrobe for clothes. Wireless internet is provided. Large kitchen diner with all facilities (cooker, microwave, washing machine, fridge freezer) and very green outlook onto my garden. This is your home while you stay and I will do my utmost to ensure you feel happy and relaxed here. Whipps Cross hospital is a few minutes walk just around the corner, so ideal for those employed temporarily there. Guest access Access to cooker, microwave, f",Sunrise Garden Room! Close TfL Bus Stop!! LOOK OUT FAR!!! Sl
Sunni Flat Close To Tub! (2 beds) Apt Near L&H,Sunni studio flats near Tubemagic!,"This is a home not a hotel - for the cost guests have lots of space with added benefit of it not being a flat but a whole little Notting Hill house with an outdoor terrace. It’s bohemian, a little imperfect and charming. The central location results in street noise but the bedroom is quiet. The space This charming 1 bedroom with en-suite bathroom apartment is set within a whole self-contained house in the heart of trendy Notting Hill Gate. You don’t share the house with anyone else. With its own terrace, perfect for spring summer breakfasts or dinner with friends - this charming but casual apartment is split across 3 levels with a separate kitchen. Let furnished. All mod cons with excellent wifi access. The Notting Hill Gate tube station is within 1 minute walk. There are basic provisions in the kitchen like tea, coffee and some breakfast options. Guests are welcome to use all in the flat - it is a home away from home. Ideas for",Sunni studio flats near Tubemagic!
"Flat near Undercroft Station, Bayswater (Zone2) 75ppmwl!","Flat near Undercroft Station, Bayswater (Zone2) 75ppmwl!",The room just had a total mkeover; designed to feel cozy but spacious the bed folds away for long term single occupancy - short stay couples. stay at a 3 bed flat Great live work space travel time under 30 mins to all London campuses - free wifi discount price for monthly or longer term accommodation 4 mins walk to underground station - Are you looking longer term while you study work teach? are you a visiting students academics writers or workers shared kitchen bathroom The space Relaxed boutique designed studio Double platform bedroom with work area and sofa chill out zone in Architect designed apartment. very cool bespoke kitchen and breakfast bar - the hub of the home were guests and me interact Guest access The studio is a self contained unit. there is a coffee machine in the room - put cups in the machine in the kitchen food is,"Sunrise Room, Central Zone! (5 Min Walk) Flat Too Good For O"
Sunlit House beside river - Bedtime!,Luxury Studios near Heathrow! 58 ppr (21mins) Buses into Cit,"My place is great for couples, solo adventurers, business travellers, families, and groups. I have 3 double bedrooms I Airbnb & the website works out cost based on everyone in one room. This works if you are solo or a couple, but if you require a second or third bedroom the cost will be incorrect and I will need to send you a new offer. Please be sure in your note to let me know how many rooms you need and the configuration of guests. Thank you. The space Double room by Thames, SW London A lovely and spacious family house by the River Thames in Fulham, with a double room to rent and when available, two additional bedrooms for children or additional guests. All bedrooms are spacious with TV, wifi and fantastic bus routes to central London from the end of the road. Most of my bookings tend to come through this listing so if there is no availability showing here, it is still worth messaging me to see if one of the other rooms are free as I do have 3 l",Luxury Studios near Heathrow! 58 ppr (21mins) Buses into Cit
